FULLNAME,HEIGHT,MIN/GAME,PTS/MIN,GP,GS,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Zion Williamson,1.98,31.69,0.81,85,85,0.22,0.13,0.09,0.1,0.03,0.02,0.08,0.07,0.6,0.31,0.52,0.33,0.01,0.02,0.68,0.18,0.26,1629627
Joel Embiid,2.13,30.92,0.8,311,311,0.36,0.29,0.07,0.1,0.03,0.05,0.11,0.1,0.47,0.26,0.54,0.33,0.04,0.11,0.8,0.24,0.29,407908
Michael Jordan,1.98,38.75,0.79,1251,1218,0.16,0.12,0.04,0.14,0.06,0.02,0.07,0.07,0.49,0.3,0.6,0.33,0.02,0.05,0.83,0.18,0.22,1786
George Gervin,2.01,33.47,0.78,850,402,0.14,0.09,0.05,0.08,0.04,0.03,0.08,0.09,0.51,0.3,0.6,0,0,0.01,0.83,0.17,0.2,153608
Luka Doncic,2.01,33.73,0.77,233,233,0.25,0.22,0.03,0.23,0.03,0.01,0.12,0.07,0.48,0.27,0.58,0.36,0.08,0.24,0.67,0.16,0.22,3258058
Trae Young,1.85,33.5,0.74,248,248,0.12,0.1,0.02,0.27,0.03,0,0.12,0.05,0.43,0.24,0.55,0.33,0.07,0.22,0.86,0.19,0.22,3258054
Kevin Durant,2.08,37.23,0.74,1061,1058,0.19,0.17,0.02,0.11,0.03,0.03,0.08,0.05,0.49,0.25,0.51,0.37,0.05,0.14,0.87,0.18,0.21,402284
Freeman Williams,1.93,20.4,0.72,324,13,0.08,0.04,0.04,0.08,0.04,0,0.09,0.08,0.23,0.3,0.64,0,0.02,0.06,0.41,0.1,0.13,157096
James Harden,1.96,34.6,0.72,1040,783,0.16,0.14,0.02,0.19,0.05,0.02,0.11,0.08,0.44,0.21,0.48,0.35,0.08,0.22,0.86,0.21,0.25,403870
Donovan Mitchell,1.85,33.92,0.71,336,328,0.12,0.1,0.02,0.13,0.04,0.01,0.08,0.07,0.44,0.25,0.58,0.38,0.08,0.22,0.85,0.12,0.14,3256756
Stephen Curry,1.88,34.75,0.71,901,893,0.14,0.12,0.02,0.19,0.05,0.01,0.09,0.07,0.46,0.24,0.51,0.42,0.11,0.26,0.91,0.11,0.13,403878
LeBron James,2.06,38.74,0.7,1592,1591,0.2,0.17,0.03,0.19,0.04,0.02,0.09,0.05,0.5,0.26,0.51,0.34,0.04,0.12,0.74,0.15,0.21,5088
Dominique Wilkins,2.03,35.56,0.7,1130,1050,0.19,0.11,0.08,0.07,0.04,0.02,0.07,0.05,0.45,0.26,0.57,0.3,0.02,0.06,0.82,0.16,0.2,2244
Anthony Davis,2.08,34.62,0.7,628,623,0.3,0.22,0.07,0.07,0.04,0.07,0.06,0.07,0.53,0.26,0.5,0.32,0.01,0.05,0.82,0.16,0.2,406152
John Drew,1.98,29.38,0.7,768,106,0.23,0.13,0.1,0.06,0.05,0.01,0.06,0.12,0.45,0.25,0.53,0,0,0,0.74,0.2,0.26,153196
Jerry West,1.91,39.53,0.69,1085,0,0.15,0,0,0.17,0,0,0,0.07,0.47,0.25,0.52,0,0,0,0.81,0.2,0.24,156994
David Thompson,1.93,32.11,0.69,536,71,0.12,0.07,0.05,0.1,0.03,0.03,0.07,0.08,0.48,0.26,0.52,0,0,0,0.76,0.17,0.22,156652
Kobe Bryant,1.98,36.59,0.69,1566,1398,0.14,0.11,0.03,0.13,0.04,0.01,0.08,0.07,0.45,0.24,0.54,0.33,0.04,0.11,0.83,0.17,0.2,1954
Devin Booker,1.96,33.83,0.69,452,427,0.11,0.1,0.02,0.14,0.02,0.01,0.1,0.09,0.45,0.24,0.53,0.34,0.06,0.16,0.89,0.15,0.17,3252328
Elgin Baylor,1.96,40.18,0.68,980,0,0.33,0,0,0.11,0,0,0,0.08,0.44,0.26,0.59,0,0,0,0.78,0.17,0.22,152254
Walter Davis,1.98,27.84,0.68,1111,702,0.11,0.08,0.03,0.14,0.04,0,0.09,0.09,0.5,0.28,0.55,0,0.01,0.02,0.84,0.11,0.13,2906
Alex English,2.03,31.92,0.68,1261,1011,0.17,0.1,0.07,0.12,0.03,0.02,0.07,0.08,0.5,0.28,0.56,0,0,0,0.85,0.11,0.14,153346
Shaquille O'Neal,2.16,35.15,0.68,1423,1411,0.31,0.21,0.1,0.07,0.02,0.06,0.08,0.1,0.57,0.27,0.46,0.02,0,0,0.52,0.14,0.27,812
Bob Pettit,2.06,38.9,0.68,880,0,0.41,0,0,0.08,0,0,0,0.08,0.43,0.24,0.55,0,0,0,0.77,0.2,0.26,155694
Adrian Dantley,1.96,35.67,0.67,1028,959,0.16,0.1,0.06,0.08,0.03,0,0.07,0.07,0.53,0.24,0.44,0,0,0,0.81,0.2,0.24,153008
Damian Lillard,1.88,36.64,0.67,765,765,0.11,0.1,0.02,0.18,0.03,0.01,0.08,0.05,0.42,0.22,0.51,0.37,0.08,0.22,0.89,0.15,0.17,406162
Bernard King,2.01,33.57,0.67,902,820,0.17,0.11,0.06,0.1,0.03,0.01,0.09,0.1,0.54,0.27,0.51,0,0,0,0.73,0.14,0.19,154528
Kyrie Irving,1.88,34.14,0.67,652,652,0.11,0.09,0.02,0.17,0.04,0.01,0.08,0.07,0.46,0.25,0.53,0.39,0.06,0.16,0.88,0.11,0.13,405362
Kareem Abdul-Jabbar,2.18,36.76,0.67,1797,1616,0.3,0.16,0.05,0.1,0.02,0.06,0.05,0.08,0.55,0.28,0.5,0,0,0,0.73,0.12,0.16,152006
Karl-Anthony Towns,2.11,34.31,0.67,440,440,0.33,0.25,0.09,0.09,0.02,0.04,0.08,0.1,0.5,0.25,0.47,0.33,0.05,0.12,0.79,0.13,0.15,3252314
World Free,1.91,30.07,0.67,920,600,0.09,0.05,0.04,0.12,0.03,0.01,0.07,0.08,0.43,0.24,0.53,0,0.01,0.02,0.75,0.18,0.23,153506
Billyray Bates,1.93,18.38,0.66,193,7,0.09,0.05,0.04,0.11,0.05,0.01,0.08,0.08,0.51,0.27,0.57,0.34,0.01,0.04,0.8,0.11,0.14,152242
Karl Malone,2.06,37.6,0.66,1669,1664,0.27,0.21,0.06,0.09,0.04,0.02,0.08,0.08,0.49,0.24,0.48,0.22,0,0.01,0.74,0.18,0.24,504
Russell Westbrook,1.91,35.06,0.66,1083,1066,0.21,0.16,0.05,0.24,0.05,0.01,0.12,0.08,0.42,0.24,0.54,0.3,0.03,0.11,0.81,0.16,0.2,403132
Bob McAdoo,2.06,32.75,0.66,946,1,0.28,0.19,0.06,0.07,0.03,0.04,0.04,0.1,0.5,0.26,0.52,0,0,0,0.74,0.14,0.18,154996
Dan Issel,2.06,30.79,0.66,771,256,0.26,0.18,0.08,0.08,0.03,0.02,0.06,0.09,0.5,0.25,0.49,0,0,0,0.81,0.17,0.21,154194
Mark Aguirre,1.98,29.94,0.66,1025,705,0.17,0.11,0.06,0.1,0.02,0.01,0.08,0.09,0.48,0.26,0.53,0.31,0.01,0.05,0.74,0.13,0.17,152032
Giannis Antetokounmpo,2.11,32.86,0.66,679,614,0.29,0.23,0.05,0.14,0.04,0.04,0.09,0.09,0.53,0.24,0.45,0.28,0.02,0.07,0.66,0.16,0.22,407014
DeMarcus Cousins,2.08,30.36,0.66,628,559,0.34,0.25,0.09,0.1,0.04,0.04,0.11,0.12,0.44,0.23,0.51,0.33,0.02,0.06,0.71,0.17,0.23,404652
Robert Hawkins,1.93,18.68,0.66,108,0,0.12,0.07,0.05,0.08,0.06,0.02,0.02,0.13,0.63,0.27,0.59,0,0,0,0.85,0.12,0.17,153950
Pete Maravich,1.96,36.65,0.66,684,0,0.11,0.06,0.02,0.15,0.02,0,0.02,0.08,0.43,0.25,0.58,0,0,0,0.8,0.15,0.18,154918
Kiki Vandeweghe,2.03,29.75,0.65,878,612,0.11,0.08,0.04,0.07,0.02,0.01,0.05,0.06,0.52,0.25,0.48,0.36,0.01,0.02,0.89,0.14,0.16,156808
Carmelo Anthony,2.01,35.01,0.65,1302,1197,0.18,0.13,0.05,0.08,0.03,0.01,0.07,0.08,0.43,0.23,0.52,0.34,0.04,0.11,0.82,0.15,0.18,5092
Allen Iverson,1.83,41.4,0.65,985,972,0.09,0.07,0.02,0.15,0.05,0,0.09,0.05,0.41,0.23,0.53,0.32,0.03,0.09,0.77,0.17,0.22,1894
Rick Barry,2.01,36.35,0.64,868,0,0.18,0.08,0.02,0.14,0.04,0.01,0.02,0.08,0.44,0.25,0.57,0,0,0.01,0.89,0.13,0.15,1200026
Bill McGill,2.06,15.59,0.64,163,0,0.24,0,0,0.07,0,0,0,0.15,0.52,0.26,0.54,0,0,0,0.86,0.12,0.16,155062
Dwyane Wade,1.93,34.51,0.64,1231,1081,0.14,0.1,0.04,0.15,0.04,0.02,0.09,0.07,0.48,0.23,0.49,0.32,0.02,0.05,0.77,0.16,0.2,5096
