FULLNAME,HEIGHT,MIN/GAME,PTS/MIN,GP,GS,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Zion Williamson,1.98,31.69,0.41,85,85,0.11,0.07,0.04,0.05,0.01,0.01,0.17,0.13,0.31,0.16,0.52,0.17,0,0.02,0.35,0.09,0.26,1629627
Trae Young,1.85,33.5,0.4,248,248,0.06,0.05,0.01,0.14,0.02,0,0.23,0.1,0.23,0.13,0.55,0.18,0.04,0.22,0.47,0.1,0.22,3258054
Michael Jordan,1.98,38.75,0.4,1251,1218,0.08,0.06,0.02,0.07,0.03,0.01,0.14,0.14,0.25,0.15,0.6,0.17,0.01,0.05,0.42,0.09,0.22,1786
George Gervin,2.01,33.47,0.39,850,402,0.07,0.05,0.02,0.04,0.02,0.01,0.16,0.18,0.25,0.15,0.6,0,0,0.01,0.41,0.09,0.2,153608
Luka Doncic,2.01,33.73,0.39,233,233,0.12,0.11,0.02,0.12,0.02,0.01,0.24,0.14,0.24,0.13,0.58,0.18,0.04,0.24,0.33,0.08,0.22,3258058
Donovan Mitchell,1.85,33.92,0.38,336,328,0.07,0.05,0.01,0.07,0.02,0,0.15,0.14,0.24,0.14,0.58,0.2,0.04,0.22,0.46,0.06,0.14,3256756
Stephen Curry,1.88,34.75,0.38,901,893,0.07,0.06,0.01,0.1,0.03,0,0.17,0.13,0.25,0.13,0.51,0.22,0.06,0.26,0.48,0.06,0.13,403878
Joel Embiid,2.13,30.92,0.38,311,311,0.17,0.14,0.04,0.05,0.01,0.03,0.24,0.22,0.22,0.12,0.54,0.15,0.02,0.11,0.38,0.11,0.29,407908
Freeman Williams,1.93,20.4,0.37,324,13,0.04,0.02,0.02,0.04,0.02,0,0.17,0.16,0.12,0.15,0.64,0,0.01,0.06,0.21,0.05,0.13,157096
James Harden,1.96,34.6,0.37,1040,783,0.08,0.07,0.01,0.1,0.02,0.01,0.21,0.15,0.22,0.11,0.48,0.18,0.04,0.22,0.44,0.11,0.25,403870
Jerry West,1.91,39.53,0.36,1085,0,0.08,0,0,0.09,0,0,0,0.13,0.25,0.13,0.52,0,0,0,0.42,0.1,0.24,156994
Isaiah Thomas,1.75,29.1,0.36,553,382,0.05,0.04,0.01,0.1,0.02,0,0.14,0.13,0.24,0.12,0.47,0.19,0.04,0.18,0.49,0.09,0.18,405476
Damian Lillard,1.88,36.64,0.36,765,765,0.06,0.05,0.01,0.1,0.01,0,0.15,0.1,0.23,0.12,0.51,0.2,0.04,0.22,0.47,0.08,0.17,406162
David Thompson,1.93,32.11,0.36,536,71,0.06,0.04,0.02,0.05,0.01,0.01,0.13,0.15,0.25,0.13,0.52,0,0,0,0.39,0.09,0.22,156652
Kyrie Irving,1.88,34.14,0.36,652,652,0.06,0.05,0.01,0.09,0.02,0.01,0.14,0.12,0.25,0.13,0.53,0.21,0.03,0.16,0.47,0.06,0.13,405362
Allen Iverson,1.83,41.4,0.35,985,972,0.05,0.04,0.01,0.08,0.03,0,0.16,0.09,0.23,0.12,0.53,0.17,0.02,0.09,0.42,0.09,0.22,1894
Kevin Durant,2.08,37.23,0.35,1061,1058,0.09,0.08,0.01,0.05,0.01,0.01,0.18,0.11,0.23,0.12,0.51,0.18,0.02,0.14,0.42,0.09,0.21,402284
John Drew,1.98,29.38,0.35,768,106,0.12,0.07,0.05,0.03,0.02,0,0.13,0.24,0.23,0.13,0.53,0,0,0,0.37,0.1,0.26,153196
