FULLNAME,HEIGHT,OVRL,MIN/GAME,PTS/MIN,GP,GS,TS%,UPTS/MIN,REB/MIN,DREB/MIN,OREB/MIN,AST/MIN,STL/MIN,BLK/MIN,TOV/MIN,PF/MIN,FG_PCT,FGM/MIN,FGA/MIN,FG3_PCT,FG3M/MIN,FG3A/MIN,FT_PCT,FTM/MIN,FTA/MIN,PLAYER_ID
Luka Doncic,2.01,44.89,33.73,0.77,233,233,0.57,0.44,0.25,0.22,0.03,0.23,0.03,0.01,0.12,0.07,0.48,0.27,0.58,0.36,0.08,0.24,0.67,0.16,0.22,3258058
Wilt Chamberlain,2.16,43.5,45.99,0.63,1205,0,0.54,0.34,0.5,0,0,0.1,0,0,0,0.04,0.53,0.25,0.47,0,0,0,0.49,0.12,0.24,152750
Trae Young,1.85,43.06,33.5,0.74,248,248,0.57,0.42,0.12,0.1,0.02,0.27,0.03,0,0.12,0.05,0.43,0.24,0.55,0.33,0.07,0.22,0.86,0.19,0.22,3258054
Zion Williamson,1.98,41.38,31.69,0.81,85,85,0.64,0.52,0.22,0.13,0.09,0.1,0.03,0.02,0.08,0.07,0.6,0.31,0.52,0.33,0.01,0.02,0.68,0.18,0.26,1629627
Joel Embiid,2.13,41.27,30.92,0.8,311,311,0.59,0.47,0.36,0.29,0.07,0.1,0.03,0.05,0.11,0.1,0.47,0.26,0.54,0.33,0.04,0.11,0.8,0.24,0.29,407908
Nikola Jokic,2.11,41.04,30.61,0.63,518,477,0.61,0.39,0.33,0.24,0.09,0.2,0.04,0.02,0.09,0.09,0.52,0.24,0.46,0.38,0.04,0.1,0.83,0.11,0.13,407998
Russell Westbrook,1.91,39.98,35.06,0.66,1083,1066,0.53,0.35,0.21,0.16,0.05,0.24,0.05,0.01,0.12,0.08,0.42,0.24,0.54,0.3,0.03,0.11,0.81,0.16,0.2,403132
Magic Johnson,2.06,39.01,36.98,0.53,1096,1056,0.61,0.32,0.2,0.15,0.05,0.31,0.05,0.01,0.1,0.06,0.51,0.19,0.36,0.27,0.01,0.03,0.84,0.15,0.18,154284
Stephen Curry,1.88,39,34.75,0.71,901,893,0.62,0.44,0.14,0.12,0.02,0.19,0.05,0.01,0.09,0.07,0.46,0.24,0.51,0.42,0.11,0.26,0.91,0.11,0.13,403878
LeBron James,2.06,38.49,38.74,0.7,1592,1591,0.59,0.41,0.2,0.17,0.03,0.19,0.04,0.02,0.09,0.05,0.5,0.26,0.51,0.34,0.04,0.12,0.74,0.15,0.21,5088
Bob Pettit,2.06,38.26,38.9,0.68,880,0,0.51,0.34,0.41,0,0,0.08,0,0,0,0.08,0.43,0.24,0.55,0,0,0,0.77,0.2,0.26,155694
James Harden,1.96,38.08,34.6,0.72,1040,783,0.61,0.44,0.16,0.14,0.02,0.19,0.05,0.02,0.11,0.08,0.44,0.21,0.48,0.35,0.08,0.22,0.86,0.21,0.25,403870
Charles Barkley,1.98,37.63,36.94,0.6,1196,1120,0.61,0.37,0.32,0.21,0.11,0.11,0.04,0.02,0.08,0.08,0.53,0.21,0.4,0.26,0.01,0.05,0.73,0.16,0.22,1574
Elgin Baylor,1.96,37.53,40.18,0.68,980,0,0.49,0.34,0.33,0,0,0.11,0,0,0,0.08,0.44,0.26,0.59,0,0,0,0.78,0.17,0.22,152254
Bill Russell,2.08,36.95,42.75,0.36,1128,0,0.47,0.17,0.53,0,0,0.1,0,0,0,0.07,0.43,0.14,0.32,0,0,0,0.58,0.08,0.14,156098
Karl-Anthony Towns,2.11,36.77,34.31,0.67,440,440,0.62,0.41,0.33,0.25,0.09,0.09,0.02,0.04,0.08,0.1,0.5,0.25,0.47,0.33,0.05,0.12,0.79,0.13,0.15,3252314
Chris Paul,1.83,36.69,34.82,0.53,1246,1246,0.58,0.31,0.13,0.11,0.02,0.27,0.06,0,0.07,0.07,0.48,0.19,0.4,0.37,0.04,0.11,0.86,0.12,0.13,202216
Giannis Antetokounmpo,2.11,36.31,32.86,0.66,679,614,0.6,0.39,0.29,0.23,0.05,0.14,0.04,0.04,0.09,0.09,0.53,0.24,0.45,0.28,0.02,0.07,0.66,0.16,0.22,407014
Michael Jordan,1.98,36.23,38.75,0.79,1251,1218,0.57,0.45,0.16,0.12,0.04,0.14,0.06,0.02,0.07,0.07,0.49,0.3,0.6,0.33,0.02,0.05,0.83,0.18,0.22,1786
Larry Bird,2.06,36.16,38.76,0.62,1061,1006,0.56,0.35,0.26,0.21,0.05,0.16,0.05,0.02,0.08,0.07,0.48,0.24,0.5,0.35,0.02,0.05,0.89,0.12,0.13,2898
Oscar Robertson,1.96,36.13,42.24,0.6,1126,0,0.56,0.34,0.18,0.01,0,0.22,0,0,0,0.07,0.47,0.21,0.44,0,0,0,0.85,0.17,0.21,1200030
Kevin Durant,2.08,35.7,37.23,0.74,1061,1058,0.61,0.45,0.19,0.17,0.02,0.11,0.03,0.03,0.08,0.05,0.49,0.25,0.51,0.37,0.05,0.14,0.87,0.18,0.21,402284
Anthony Davis,2.08,35.63,34.62,0.7,628,623,0.59,0.41,0.3,0.22,0.07,0.07,0.04,0.07,0.06,0.07,0.53,0.26,0.5,0.32,0.01,0.05,0.82,0.16,0.2,406152
Ja Morant,1.91,35.58,32.14,0.61,154,154,0.55,0.33,0.13,0.1,0.03,0.23,0.03,0.01,0.1,0.05,0.48,0.22,0.48,0.32,0.04,0.11,0.76,0.13,0.17,3259260
Damian Lillard,1.88,35.58,36.64,0.67,765,765,0.58,0.39,0.11,0.1,0.02,0.18,0.03,0.01,0.08,0.05,0.42,0.22,0.51,0.37,0.08,0.22,0.89,0.15,0.17,406162
Maurice Stokes,2.01,35.11,37.35,0.44,203,0,0.41,0.18,0.46,0,0,0.14,0,0,0,0.1,0.3,0.17,0.47,0,0,0,0.78,0.11,0.15,1200032
Kevin Love,2.03,34.81,31.37,0.56,823,717,0.57,0.32,0.34,0.26,0.08,0.07,0.02,0.01,0.06,0.07,0.42,0.19,0.42,0.39,0.06,0.15,0.84,0.14,0.16,403134
Jerry West,1.91,34.57,39.53,0.69,1085,0,0.55,0.38,0.15,0,0,0.17,0,0,0,0.07,0.47,0.25,0.52,0,0,0,0.81,0.2,0.24,156994
Kevin Johnson,1.85,34.38,34.45,0.52,840,716,0.58,0.3,0.1,0.08,0.02,0.26,0.04,0.01,0.09,0.06,0.48,0.18,0.37,0.27,0.01,0.02,0.84,0.16,0.19,268
Kareem Abdul-Jabbar,2.18,34.27,36.76,0.67,1797,1616,0.59,0.39,0.3,0.16,0.05,0.1,0.02,0.06,0.05,0.08,0.55,0.28,0.5,0,0,0,0.73,0.12,0.16,152006
DeMarcus Cousins,2.08,33.92,30.36,0.66,628,559,0.54,0.35,0.34,0.25,0.09,0.1,0.04,0.04,0.11,0.12,0.44,0.23,0.51,0.33,0.02,0.06,0.71,0.17,0.23,404652
Moses Malone,2.08,33.89,34.35,0.6,1423,1246,0.57,0.34,0.36,0.21,0.15,0.04,0.02,0.04,0.08,0.07,0.48,0.21,0.43,0,0,0,0.77,0.19,0.24,154898
Karl Malone,2.06,33.72,37.6,0.66,1669,1664,0.57,0.38,0.27,0.21,0.06,0.09,0.04,0.02,0.08,0.08,0.49,0.24,0.48,0.22,0,0.01,0.74,0.18,0.24,504
Kyrie Irving,1.88,33.48,34.14,0.67,652,652,0.57,0.39,0.11,0.09,0.02,0.17,0.04,0.01,0.08,0.07,0.46,0.25,0.53,0.39,0.06,0.16,0.88,0.11,0.13,405362
Shaquille O'Neal,2.16,33.11,35.15,0.68,1423,1411,0.58,0.39,0.31,0.21,0.1,0.07,0.02,0.06,0.08,0.1,0.57,0.27,0.46,0.02,0,0,0.52,0.14,0.27,812
Jerry Lucas,2.03,33.02,38.29,0.43,901,0,0.54,0.23,0.4,0.01,0,0.09,0,0,0,0.07,0.48,0.18,0.35,0,0,0,0.78,0.08,0.1,154836
Isaiah Thomas,1.75,32.84,29.1,0.63,553,382,0.57,0.36,0.09,0.07,0.02,0.17,0.03,0,0.08,0.07,0.42,0.2,0.47,0.33,0.07,0.18,0.86,0.15,0.18,405476
John Stockton,1.85,32.84,32.12,0.41,1686,1465,0.6,0.25,0.09,0.07,0.02,0.33,0.07,0.01,0.09,0.08,0.49,0.15,0.29,0.35,0.02,0.05,0.82,0.1,0.12,608
Christian Wood,2.06,32.74,22.15,0.59,181,82,0.6,0.36,0.31,0.24,0.07,0.05,0.02,0.04,0.06,0.07,0.52,0.22,0.43,0.36,0.05,0.13,0.67,0.11,0.16,1626174
John Wall,1.91,32.62,35.79,0.54,650,638,0.52,0.28,0.12,0.1,0.02,0.25,0.05,0.02,0.11,0.06,0.43,0.19,0.45,0.3,0.03,0.09,0.8,0.12,0.15,404644
Steve Nash,1.91,32.55,31.68,0.46,1337,1166,0.6,0.28,0.1,0.08,0.02,0.27,0.02,0,0.09,0.05,0.48,0.17,0.34,0.42,0.04,0.1,0.9,0.08,0.09,1918
Donovan Mitchell,1.85,32.54,33.92,0.71,336,328,0.55,0.39,0.12,0.1,0.02,0.13,0.04,0.01,0.08,0.07,0.44,0.25,0.58,0.38,0.08,0.22,0.85,0.12,0.14,3256756
Hassan Whiteside,2.13,32.44,25.16,0.51,490,342,0.6,0.3,0.44,0.31,0.12,0.03,0.02,0.09,0.06,0.11,0.6,0.21,0.36,0.65,0,0,0.59,0.08,0.14,404710
Mark Price,1.83,32.36,30.23,0.51,769,624,0.59,0.3,0.08,0.07,0.02,0.22,0.04,0,0.08,0.04,0.47,0.18,0.38,0.37,0.04,0.11,0.92,0.1,0.11,1798
Nikola Vucevic,2.08,32.33,30.69,0.55,699,637,0.54,0.3,0.34,0.25,0.08,0.09,0.03,0.03,0.06,0.08,0.47,0.24,0.48,0.36,0.02,0.07,0.78,0.05,0.07,405392
Julius Randle,2.03,32.28,30.84,0.57,479,399,0.56,0.32,0.3,0.24,0.07,0.11,0.02,0.01,0.09,0.1,0.39,0.21,0.44,0.34,0.03,0.08,0.8,0.12,0.16,407888
Billy Cunningham,1.98,32.28,34.09,0.61,693,0,0.5,0.31,0.3,0.03,0.01,0.12,0,0,0,0.11,0.44,0.23,0.51,0,0,0,0.7,0.15,0.21,152974
Bill Walton,2.11,32.18,27.94,0.47,517,117,0.55,0.26,0.37,0.29,0.08,0.12,0.03,0.08,0.06,0.1,0.52,0.19,0.37,0,0,0,0.67,0.08,0.12,156900
